English	Russian	Lithuanian
Abkhazia	Абхазия	Abchazija
Afghanistan	Афганистан	Afganistanas 
Ireland	Ирландия	Airija 
Åland Islands	Эландские острова	Alandų salos 
Albania	Албания	Albanija 
Algeria	Алжир	Alžyras 
American Samoa	Американское Самоа	Amerikos Samoa 
Andorra	Андорра	Andora 
Anguilla	Ангилья	Angilija 
England	Англия	Anglija 
Angola	Ангола	Angola 
Antigua and Barbuda	Антигуа и Барбуда	Antigva ir Barbuda 
Argentina	Аргентина	Argentina 
Armenia	Армения	Armėnija 
Aruba	Аруба	Aruba 
Australia	Австралия	Australija 
Austria	Австрия	Austrija 
Azerbaijan	Азербайджан	Azerbaidžanas 
Bahamas	Багамы	Bahamos 
Bahrain	Бахрейн	Bahreinas 
Belarus	Беларусь	Baltarusija
Bangladesh	Бангладеш	Bangladešas 
Barbados	Барбадос	Barbadosas 
Belgium	Бельгия	Belgija 
Belize	Белиз	Belizas 
Benin	Бенин	Beninas 
Bermuda	Бермуды	Bermuda
Guinea-Bissau	Гвинея-Бисау	Bisau Gvinėja 
Bolivia	Боливия	Bolivija 
Bosnia and Herzegovina	Босния и Герцеговина	Bosnija ir Hercegovina 
Botswana	Ботсвана	Botsvana 
Brazil	Бразилия	Brazilija 
British Indian Ocean Territory	Британская территория в Индийском океане	Britų Mergelių salos 
Brunei Darussalam	Бруней-Даруссалам	Brunėjus 
Bulgaria	Болгария	Bulgarija 
Burkina Faso	Буркина-Фасо	Burkina Fasas 
Burma	Мьянма	Burma
Burundi	Бурунди	Burundis 
Bhutan	Бутан	Butanas 
Chad	Чад	Čadas 
Czech Republic	Чешская Республика	Čekija 
Central African Republic	Центрально-Африканская Республика	Centrinės Afrikos Respublika 
Chile	Чили	Čilė 
Denmark	Дания	Danija 
Dominica	Доминика	Dominika 
Dominican Republic	Доминиканская Республика	Dominikos Respublika 
Cote d'Ivoire	Кот д'Ивуар	Dramblio Kaulo Krantas 
Jersey	Джерси	Džersis
Djibouti	Джибути	Džibutis 
Egypt	Египет	Egiptas 
Ecuador	Эквадор	Ekvadoras 
Eritrea	Эритрея	Eritrėja 
Estonia	Эстония	Estija 
Ethiopia	Эфиопия	Etiopija 
Faroe Islands	Фарерские острова	Farerų Salos 
Fiji	Фиджи	Fidžis 
Philippines	Филиппины	Filipinai 
Falkland Islands (Malvinas)	Фолклендские острова (Мальвинские)	Folklandų (Malvinų) salos 
Gabon	Габон	Gabonas 
Guyana	Гайана	Gajana 
Gambia	Гамбия	Gambija
Ghana	Гана	Gana 
Guernsey	Гернси	Gernsis
Gibraltar	Гибралтар	Gibraltaras 
Greece	Греция	Graikija 
Grenada	Гренада	Grenada 
Greenland	Гренландия	Grenlandija 
Georgia	Грузия	Gruzija 
Guam	Гуам	Guamas 
Guadeloupe	Гваделупа	Gvadelupa 
Guatemala	Гватемала	Gvatemala 
Guinea	Гвинея	Gvinėja 
Haiti	Гаити	Haitis 
Honduras	Гондурас	Hondūras 
Hong Kong	Гонконг	Honkongas 
India	Индия	Indija 
Indonesia	Индонезия	Indonezija 
Iraq	Ирак	Irakas 
Iran	Иран	Iranas 
Iceland	Исландия	Islandija 
Spain	Испания	Ispanija 
Italy	Италия	Italija 
Israel	Израиль	Izraelis 
Jamaica	Ямайка	Jamaika 
Japan	Япония	Japonija 
Yemen	Йемен	Jemenas 
Jordan	Иордания	Jordanija 
United Kingdom	Соединенное Королевство	Jungtinė Karalystė 
United States	Соединенные Штаты	Jungtinės Amerikos Valstijos (JAV) 
United Arab Emirates	Объединенные Арабские Эмираты	Jungtiniai Arabų Emiratai 
Montenegro	Черногория	Juodkalnija 
Cayman Islands	Острова Кайман	Kaimanų salos 
Christmas Island	Остров Рождества	Kalėdų salos 
Cambodia	Камбоджа	Kambodža 
Cameroon	Камерун	Kamerūnas 
Canada	Канада	Kanada 
Qatar	Катар	Kataras 
Kazakhstan	Казахстан	Kazachstanas 
Kenya	Кения	Kenija 
China	Китай	Kinija 
Cyprus	Кипр	Kipras 
Kyrgyzstan	Киргизия	Kirgizija 
Kiribati	Кирибати	Kiribatis 
Cocos (Keeling) Islands	Кокосовые (Килинг) острова	Kokosų (Kilingo) Salos 
Colombia	Колумбия	Kolumbija 
Comoros	Коморы	Komorai 
Congo	Конго	Kongas 
Costa Rica	Коста-Рика	Kosta Rika 
Croatia	Хорватия	Kroatija 
Cuba	Куба	Kuba 
Cook Islands	Острова Кука	Kuko salos 
Kuwait	Кувейт	Kuveitas 
Lao People's Democratic Republic	Лаос	Laosas 
Latvia	Латвия	Latvija 
Poland	Польша	Lenkija 
Lesotho	Лесото	Lesotas 
Lebanon	Ливан	Libanas 
Liberia	Либерия	Liberija 
Libyan Arab Jamahiriya	Ливийская Арабская Джамахирия	Libija 
Liechtenstein	Лихтенштейн	Lichtenšteinas 
Lithuania	Литва	Lietuva 
Luxembourg	Люксембург	Liuksemburgas 
Madagascar	Мадагаскар	Madagaskaras 
Mayotte	Майотта	Majotas 
Macao	Макао	Makao 
Macedonia	Македония	Makedonija 
Malaysia	Малайзия	Malaizija 
Malawi	Малави	Malavis 
Maldives	Мальдивы	Maldyvai 
Mali	Мали	Malis 
Malta	Мальта	Malta 
Northern Mariana Islands	Северные Марианские острова	Marijanos Šiaurinės salos 
Morocco	Марокко	Marokas 
Marshall Islands	Маршалловы острова	Maršalo Salos 
Martinique	Мартиника	Martinika 
Mauritius	Маврикий	Mauricijus 
Mauritania	Мавритания	Mauritanija 
Mexico	Мексика	Meksika 
Virgin Islands U.S.	Виргинские острова США	Mergelių salos 
Micronesia	Микронезия	Mikronezija 
Moldova	Молдова	Moldavija 
Monaco	Монако	Monakas 
Mongolia	Монголия	Mongolija 
Montserrat	Монтсеррат	Montseratas
Mozambique	Мозамбик	Mozambikas 
Namibia	Намибия	Namibija 
New Caledonia	Новая Каледония	Naujoji Kaledonija 
New Zealand	Новая Зеландия	Naujoji Zelandija 
Nauru	Науру	Nauru 
Nepal	Непал	Nepalas 
Nigeria	Нигерия	Nigerija 
Niger	Нигер	Nigeris 
Nicaragua	Никарагуа	Nikaragva 
Niue	Ниуэ	Niujė 
Norfolk Island	Остров Норфолк	Norfolkas 
Norway	Норвегия	Norvegija 
Netherlands	Нидерланды	Nyderlandai 
Holand	Голландия	Olandija 
Oman	Оман	Omanas 
Pakistan	Пакистан	Pakistanas 
Palau	Палау	Palau 
Palestinian Territory	Палестинская территория	Palestina 
Panama	Панама	Panama 
Papua New Guinea	Папуа-Новая Гвинея	Papua Naujoji Gvinėja 
Paraguay	Парагвай	Paragvajus 
Peru	Перу	Peru 
South Africa	Южная Африка	Pietų Afrika 
South Georgia and the South Sandwich Islands	Южная Джорджия и Южные Сандвичевы острова	Pietų Džordžijos ir Pietų Sandvičo salos 
South Korea	Южная Корея	Pietų Korėja
South Ossetia	Южная Осетия	Pietų Osetija 
South Sudan	Южный Судан	Pietų Sudanas 
Pitcairn	Питкерн	Pitkerno salos 
Portugal	Португалия	Portugalija 
France	Франция	Prancūzija 
French Guiana	Французская Гвиана	Prancūzijos Gviana 
French Southern Territories	Французские Южные территории	Prancūzijos Pietų Sritys 
French Polynesia	Французская Полинезия	Prancūzijos Polinezija 
Puerto Rico	Пуэрто-Рико	Puerto Rikas 
Equatorial Guinea	Экваториальная Гвинея	Pusiaujo Gvinėja 
Reunion	Реюньон	Reunjonas 
Rwanda	Руанда	Ruanda 
Romania	Румыния	Rumunija 
Russian Federation	Россия	Rusija 
Timor-Leste	Тимор-Лесте	Rytų Timoras
Solomon Islands	Соломоновы острова	Saliamono Salos 
El Salvador	Эль-Сальвадор	Salvadoras 
Samoa	Самоа	Samoa 
San Marino	Сан-Марино	San Marinas 
Saint Martin (French Part)	Сен-Мартен	San Martenas
Sao Tome and Principe	Сан-Томе и Принсипи	San Tomė ir Prinsipė 
Saudi Arabia	Саудовская Аравия	Saudo Arabija 
